Date,Contributions,Validation
2023-01-10,1,True
2023-01-17,2,True
2023-01-24,3,True
2023-01-31,0,True
2023-02-07,2,True
2023-02-14,1,True
2023-02-21,2,True
2023-02-28,5,True
2023-03-07,2,True
2023-03-14,0,True
2023-03-21,3,True
2023-03-28,1,True
2023-04-04,1,True
2023-04-11,1,True
2023-04-18,1,True
2023-04-25,1,True
2023-05-02,2,True
2023-05-09,1,True
2023-05-16,0,True
2023-05-23,0,True
2023-05-30,3,True
2023-06-06,1,True
2023-06-13,0,True
2023-06-20,3,True
2023-06-27,2,True
2023-07-04,2,True
2023-07-11,3,True
2023-07-18,0,True
2023-07-25,2,True
2023-08-01,0,True
2023-08-08,1,True
2023-08-15,1,True
2023-08-22,3,True
2023-08-29,0,True
2023-09-05,3,True
2023-09-12,0,True
2023-09-19,0,True
2023-09-26,2,True
2023-10-03,0,True
2023-10-10,2,True
2023-10-17,4,True
2023-10-24,3,True
2023-10-31,2,True
2023-11-07,1,True
2023-11-14,1,True
2023-11-21,0,True
2023-11-28,0,True
2023-12-05,2,True
2023-12-12,4,True
2023-12-19,0,True
2023-12-26,6,True
2023-01-04,0,True
2023-01-11,1,True
2023-01-18,0,True
2023-01-25,5,True
2023-02-01,4,True
2023-02-08,3,True
2023-02-15,2,True
2023-02-22,0,True
2023-03-01,3,True
2023-03-08,2,True
2023-03-15,0,True
2023-03-22,0,True
2023-03-29,0,True
2023-04-05,0,True
2023-04-12,3,True
2023-04-19,0,True
2023-04-26,2,True
2023-05-03,4,True
2023-05-10,1,True
2023-05-17,0,True
2023-05-24,0,True
2023-05-31,1,True
2023-06-07,0,True
2023-06-14,2,True
2023-06-21,1,True
2023-06-28,6,True
2023-07-05,3,True
2023-07-12,5,True
2023-07-19,2,True
2023-07-26,2,True
2023-08-02,0,True
2023-08-09,0,True
2023-08-16,2,True
2023-08-23,1,True
2023-08-30,0,True
2023-09-06,4,True
2023-09-13,0,True
2023-09-20,0,True
2023-09-27,1,True
2023-10-04,1,True
2023-10-11,0,True
2023-10-18,5,True
2023-10-25,6,True
2023-11-01,0,True
2023-11-08,1,True
2023-11-15,2,True
2023-11-22,0,True
2023-11-29,0,True
2023-12-06,0,True
2023-12-13,0,True
2023-12-20,2,True
2023-12-27,2,True
2023-01-05,3,True
2023-01-12,1,True
2023-01-19,3,True
2023-01-26,0,True
2023-02-02,0,True
2023-02-09,1,True
2023-02-16,0,True
2023-02-23,0,True
2023-03-02,1,True
2023-03-09,1,True
2023-03-16,1,True
2023-03-23,1,True
2023-03-30,0,True
2023-04-06,1,True
2023-04-13,0,True
2023-04-20,0,True
2023-04-27,0,True
2023-05-04,4,True
2023-05-11,1,True
2023-05-18,0,True
2023-05-25,0,True
2023-06-01,1,True
2023-06-08,2,True
2023-06-15,1,True
2023-06-22,0,True
2023-06-29,2,True
2023-07-06,2,True
2023-07-13,1,True
2023-07-20,2,True
2023-07-27,1,True
2023-08-03,0,True
2023-08-10,0,True
2023-08-17,3,True
2023-08-24,0,True
2023-08-31,0,True
2023-09-07,1,True
2023-09-14,0,True
2023-09-21,0,True
2023-09-28,1,True
2023-10-05,1,True
2023-10-12,0,True
2023-10-19,3,True
2023-10-26,3,True
2023-11-02,1,True
2023-11-09,1,True
2023-11-16,3,True
2023-11-23,0,True
2023-11-30,0,True
2023-12-07,4,True
2023-12-14,0,True
2023-12-21,2,True
2023-12-28,4,True
2023-01-06,1,True
2023-01-13,2,True
2023-01-20,1,True
2023-01-27,1,True
2023-02-03,1,True
2023-02-10,0,True
2023-02-17,0,True
2023-02-24,4,True
2023-03-03,0,True
2023-03-10,1,True
2023-03-17,0,True
2023-03-24,0,True
2023-03-31,3,True
2023-04-07,1,True
2023-04-14,1,True
2023-04-21,1,True
2023-04-28,1,True
2023-05-05,1,True
2023-05-12,0,True
2023-05-19,0,True
2023-05-26,0,True
2023-06-02,0,True
2023-06-09,1,True
2023-06-16,4,True
2023-06-23,1,True
2023-06-30,3,True
2023-07-07,1,True
2023-07-14,2,True
2023-07-21,0,True
2023-07-28,1,True
2023-08-04,3,True
2023-08-11,0,True
2023-08-18,0,True
2023-08-25,0,True
2023-09-01,0,True
2023-09-08,1,True
2023-09-15,0,True
2023-09-22,2,True
2023-09-29,0,True
2023-10-06,1,True
2023-10-13,1,True
2023-10-20,2,True
2023-10-27,6,True
2023-11-03,0,True
2023-11-10,5,True
2023-11-17,2,True
2023-11-24,0,True
2023-12-01,0,True
2023-12-08,3,True
2023-12-15,0,True
2023-12-22,6,True
2023-12-29,4,True
2023-01-07,1,True
2023-01-14,0,True
2023-01-21,3,True
2023-01-28,0,True
2023-02-04,0,True
2023-02-11,1,True
2023-02-18,1,True
2023-02-25,2,True
2023-03-04,0,True
2023-03-11,1,True
2023-03-18,0,True
2023-03-25,0,True
2023-04-01,2,True
2023-04-08,0,True
2023-04-15,1,True
2023-04-22,3,True
2023-04-29,0,True
2023-05-06,1,True
2023-05-13,0,True
2023-05-20,1,True
2023-05-27,0,True
2023-06-03,0,True
2023-06-10,2,True
2023-06-17,3,True
2023-06-24,0,True
2023-07-01,1,True
2023-07-08,4,True
2023-07-15,3,True
2023-07-22,3,True
2023-07-29,0,True
2023-08-05,5,True
2023-08-12,1,True
2023-08-19,1,True
2023-08-26,0,True
2023-09-02,0,True
2023-09-09,2,True
2023-09-16,0,True
2023-09-23,1,True
2023-09-30,0,True
2023-10-07,3,True
2023-10-14,0,True
2023-10-21,3,True
2023-10-28,0,True
2023-11-04,0,True
2023-11-11,0,True
2023-11-18,0,True
2023-11-25,0,True
2023-12-02,0,True
2023-12-09,6,True
2023-12-16,2,True
2023-12-23,5,True
2023-12-30,4,True
